"","scientificName","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonomicStatus","namePublishedInYear","scientificNameAuthorship","acceptedNameUsage","Npol","Ntemp","Trop","Stemp","Spol","nb_zones","range_long_r100","range_lat_r100","CHull_r100","NbSitesUsed_r100","hasCS","hasRIOK","hasCSss","has1cpa","SimplifiedName","ncbi","mito","dna","mitonuc","dupSN","yearb","gs","phylum_class","area"
"1","Acanthaster planci","Echinodermata","Asteroidea","Valvatida","Acanthasteridae","Acanthaster","","planci",NA,"accepted","","(Linnaeus, 1758)","Acanthaster planci",FALSE,TRUE,TRUE,TRUE,FALSE,3,238.5531,57.2560067,78333947.86,100,TRUE,FALSE,FALSE,TRUE,"Acanthaster planci",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1758,2,"EchinodermataAsteroidea","5"
"2","Acanthochromis polyacanthus","Chordata","Actinopterygii","Perciformes","Pomacentridae","Acanthochromis","","polyacanthus",NA,"accepted","","(Bleeker, 1855)","Acanthochromis polyacanthus",FALSE,FALSE,TRUE,FALSE,FALSE,1,50.56300268,37.568449,11322828.19,100,TRUE,TRUE,FALSE,TRUE,"Acanthochromis polyacanthus",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1855,1,"ChordataActinopterygii","1"
"3","Acartia (Acanthacartia) tonsa","Arthropoda","Hexanauplia","Calanoida","Acartiidae","Acartia","Acartia (Acanthacartia)","tonsa",NA,"accepted","","Dana, 1849","Acartia (Acanthacartia) tonsa",FALSE,TRUE,TRUE,TRUE,FALSE,3,283.0675,102.5698,188368859.6,100,TRUE,TRUE,FALSE,TRUE,"Acartia tonsa",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1849,65,"ArthropodaHexanauplia","11"
"4","Aglaophenia pluma","Cnidaria","Hydrozoa","Leptothecata","Aglaopheniidae","Aglaophenia","","pluma",NA,"accepted","","(Linnaeus, 1758)","Aglaophenia pluma",FALSE,TRUE,TRUE,TRUE,FALSE,3,148.4045926,83.25781,137314182.1,100,TRUE,TRUE,FALSE,TRUE,"Aglaophenia pluma",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1758,74,"CnidariaHydrozoa","8"
"5","Alitta virens","Annelida","Polychaeta","Phyllodocida","Nereididae","Alitta","","virens",NA,"accepted","","(M. Sars, 1835)","Alitta virens",TRUE,TRUE,TRUE,FALSE,FALSE,3,163.6600037,24.50066477,30941926.53,100,TRUE,FALSE,FALSE,FALSE,"Alitta virens",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1835,8,"AnnelidaPolychaeta","2"
"6","Alpheus lobidens","Arthropoda","Malacostraca","Decapoda","Alpheidae","Alpheus","","lobidens",NA,"accepted","1833-1850","De Haan, 1849 [in De Haan, 1833-1850]","Alpheus lobidens",FALSE,TRUE,TRUE,TRUE,FALSE,3,210.8974,72.46129846,151071790.1,100,TRUE,FALSE,FALSE,TRUE,"Alpheus lobidens",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1850,321,"ArthropodaMalacostraca","9"
"7","Antennella secundaria","Cnidaria","Hydrozoa","Leptothecata","Halopterididae","Antennella","","secundaria",NA,"accepted","","(Gmelin, 1791)","Antennella secundaria",FALSE,TRUE,TRUE,TRUE,FALSE,3,280.034468,82.74601,76648714.05,100,TRUE,FALSE,FALSE,FALSE,"Antennella secundaria",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1791,23,"CnidariaHydrozoa","5"
"8","Aplysia parvula","Mollusca","Gastropoda","Aplysiida","Aplysiidae","Aplysia","","parvula",NA,"accepted","1863","Mörch, 1863","Aplysia parvula",FALSE,TRUE,TRUE,TRUE,FALSE,3,301.5304189,83.91300095,181682437.2,100,TRUE,FALSE,TRUE,FALSE,"Aplysia parvula",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1863,44,"MolluscaGastropoda","10"
"9","Asterias amurensis","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Asterias","","amurensis",NA,"accepted","1871","Lutken, 1871","Asterias amurensis",FALSE,TRUE,TRUE,TRUE,FALSE,3,248.7572,113.15133,156390511.1,100,TRUE,FALSE,TRUE,TRUE,"Asterias amurensis",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1871,8,"EchinodermataAsteroidea","9"
"10","Atherinomorus lacunosus","Chordata","Actinopterygii","Atheriniformes","Atherinidae","Atherinomorus","","lacunosus",NA,"accepted","","(Forster, 1801)","Atherinomorus lacunosus",FALSE,TRUE,TRUE,TRUE,FALSE,3,153.941835,65.294889,91634511.12,100,TRUE,FALSE,FALSE,TRUE,"Atherinomorus lacunosus",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1801,13,"ChordataActinopterygii","5"
"11","Botryllus schlosseri","Chordata","Ascidiacea","Stolidobranchia","Styelidae","Botryllus","","schlosseri",NA,"accepted","","(Pallas, 1766)","Botryllus schlosseri",FALSE,TRUE,TRUE,TRUE,FALSE,3,122.791726,26.862769,42921952.82,100,TRUE,FALSE,FALSE,TRUE,"Botryllus schlosseri",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1766,33,"ChordataAscidiacea","3"
"12","Brachidontes exustus","Mollusca","Bivalvia","Mytilida","Mytilidae","Brachidontes","","exustus",NA,"accepted","","(Linnaeus, 1758)","Brachidontes exustus",FALSE,TRUE,TRUE,FALSE,FALSE,2,164.5770645,55.96776222,55785260.54,100,TRUE,TRUE,FALSE,TRUE,"Brachidontes exustus",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1758,30,"MolluscaBivalvia","3"
"13","Bugula neritina","Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae","Bugula","","neritina",NA,"accepted","","(Linnaeus, 1758)","Bugula neritina",FALSE,TRUE,TRUE,TRUE,TRUE,4,313.674831,96.82874222,194251210.1,100,TRUE,TRUE,FALSE,TRUE,"Bugula neritina",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1758,41,"BryozoaGymnolaemata","11"
"14","Callionymus filamentosus","Chordata","Actinopterygii","Perciformes","Callionymidae","Callionymus","","filamentosus",NA,"accepted","1837","Valenciennes, 1837","Callionymus filamentosus",FALSE,TRUE,TRUE,TRUE,FALSE,3,178.5166683,68.57186667,76721414.73,100,TRUE,TRUE,TRUE,TRUE,"Callionymus filamentosus",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1837,110,"ChordataActinopterygii","5"
"15","Capitella capitata","Annelida","Polychaeta","","Capitellidae","Capitella","","capitata",NA,"accepted","","(Fabricius, 1780)","Capitella capitata",TRUE,TRUE,TRUE,TRUE,FALSE,4,245.1316,43.41999817,79306804.56,100,TRUE,TRUE,TRUE,TRUE,"Capitella capitata",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1780,22,"AnnelidaPolychaeta","5"
"16","Caprella penantis","Arthropoda","Malacostraca","Amphipoda","Caprellidae","Caprella","","penantis",NA,"accepted","","Leach, 1814","Caprella penantis",FALSE,TRUE,TRUE,TRUE,FALSE,3,276.164812,109.0380202,290145196.9,100,TRUE,TRUE,FALSE,TRUE,"Caprella penantis",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1814,184,"ArthropodaMalacostraca","16"
"17","Celleporella hyalina","Bryozoa","Gymnolaemata","Cheilostomatida","Hippothoidae","Celleporella","","hyalina",NA,"accepted","1767","(Linnaeus, 1767)","Celleporella hyalina",TRUE,TRUE,TRUE,TRUE,TRUE,5,80.36046287,97.79012018,155492720.8,100,TRUE,TRUE,TRUE,TRUE,"Celleporella hyalina",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1767,17,"BryozoaGymnolaemata","9"
"18","Chromis viridis","Chordata","Actinopterygii","Perciformes","Pomacentridae","Chromis","","viridis",NA,"accepted","","(Cuvier, 1830)","Chromis viridis",FALSE,TRUE,TRUE,TRUE,FALSE,3,190.9865,57.657797,72888548.31,100,TRUE,TRUE,FALSE,TRUE,"Chromis viridis",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1830,110,"ChordataActinopterygii","4"
"19","Chthamalus proteus","Arthropoda","Hexanauplia","Sessilia","Chthamalidae","Chthamalus","","proteus",NA,"accepted","","Dando & Southward, 1980","Chthamalus proteus",FALSE,TRUE,TRUE,TRUE,FALSE,3,167.2851,55.97111125,35539150.5,100,TRUE,TRUE,TRUE,TRUE,"Chthamalus proteus",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1980,23,"ArthropodaHexanauplia","2"
"20","Ciona intestinalis","Chordata","Ascidiacea","Phlebobranchia","Cionidae","Ciona","","intestinalis",NA,"accepted","","(Linnaeus, 1767)","Ciona intestinalis",TRUE,TRUE,TRUE,TRUE,TRUE,5,167.093793,26.56575547,46050385.79,100,TRUE,TRUE,FALSE,TRUE,"Ciona intestinalis",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1767,14,"ChordataAscidiacea","3"
"21","Cliona celata","Porifera","Demospongiae","Clionaida","Clionaidae","Cliona","","celata",NA,"accepted","1826","Grant, 1826","Cliona celata",FALSE,TRUE,TRUE,TRUE,FALSE,3,188.9709,98.15964,157009853.1,100,TRUE,FALSE,TRUE,TRUE,"Cliona celata",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1826,80,"PoriferaDemospongiae","9"
"22","Crepidula plana","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepidula","","plana",NA,"accepted","1822","Say, 1822","Crepidula plana",FALSE,TRUE,TRUE,TRUE,FALSE,3,179.79591,67.27830046,31242574.93,100,TRUE,TRUE,FALSE,TRUE,"Crepidula plana",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1822,48,"MolluscaGastropoda","2"
"23","Cystodytes dellechiajei","Chordata","Ascidiacea","Aplousobranchia","Polycitoridae","Cystodytes","","dellechiajei",NA,"accepted","","(Della Valle, 1877)","Cystodytes dellechiajei",FALSE,TRUE,TRUE,TRUE,FALSE,3,270.3819427,95.38169,210612435.8,100,TRUE,FALSE,FALSE,TRUE,"Cystodytes dellechiajei",TRUE,TRUE,"mito",FALSE,FALSE,1877,22,"ChordataAscidiacea","12"
"24","Dactylopterus volitans","Chordata","Actinopterygii","Scorpaeniformes","Dactylopteridae","Dactylopterus","","volitans",NA,"accepted","","(Linnaeus, 1758)","Dactylopterus volitans",TRUE,TRUE,TRUE,TRUE,FALSE,4,145.369133,105.7947,211377973.6,100,TRUE,FALSE,FALSE,TRUE,"Dactylopterus volitans",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1758,1,"ChordataActinopterygii","12"
"25","Dascyllus trimaculatus","Chordata","Actinopterygii","Perciformes","Pomacentridae","Dascyllus","","trimaculatus",NA,"accepted","","(Rüppell, 1829)","Dascyllus trimaculatus",FALSE,TRUE,TRUE,TRUE,FALSE,3,202.0888824,64.9055,81343154.79,100,TRUE,FALSE,TRUE,TRUE,"Dascyllus trimaculatus",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1829,11,"ChordataActinopterygii","5"
"26","Didemnum vexillum","Chordata","Ascidiacea","Aplousobranchia","Didemnidae","Didemnum","","vexillum",NA,"accepted","2002","Kott, 2002","Didemnum vexillum",FALSE,TRUE,FALSE,FALSE,FALSE,1,187.4273982,95.79784,142288672.2,100,TRUE,FALSE,FALSE,TRUE,"Didemnum vexillum",TRUE,TRUE,"nuc&mito",TRUE,FALSE,2002,240,"ChordataAscidiacea","8"
